번호,개방자치단체코드,관리번호,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,업태구분명,좌표정보(x),좌표정보(y),위생업태명
22278,3100000,3100000-201-1972-00016,139815,서울특별시 노원구 상계동 169-136,서울특별시 노원구 상계로23나길 42 (상계동),1682,대신여관,여관업,206177.9337,461937.4132,여관업
22279,3100000,3100000-201-2005-00003,139942,서울특별시 노원구 상계동 704-2,서울특별시 노원구 노해로75길 14-10 (상계동),1689,월 호텔,여관업,205046.6866,461332.5389,여관업
22280,3100000,3100000-201-1981-00013,139838,서울특별시 노원구 상계동 1132-75번지,서울특별시 노원구 동일로243길 17 (상계동),1607,카누,여관업,204702.3301,463986.1435,여관업
22281,3100000,3100000-201-1969-00039,139810,서울특별시 노원구 상계동 101-25,서울특별시 노원구 덕릉로115나길 9 (상계동),1638,은실,여인숙업,206797.5619,462755.84,여인숙업
22282,3100000,3100000-201-1981-00005,139240,서울특별시 노원구 공릉동 568-23,서울특별시 노원구 동일로 1035 (공릉동),1857,큐티모텔,여관업,206431.6958,457803.4569,여관업
22283,3100000,3100000-201-1995-00009,139942,서울특별시 노원구 상계동 706-1,서울특별시 노원구 노해로75길 20-21 (상계동),1689,호텔에이플러스,여관업,205084.1465,461402.6071,여관업
22284,3130000,3130000-201-1997-00075,121885,서울특별시 마포구 합정동 382-21,서울특별시 마포구 양화로 11 (합정동),4027,남경장호텔,일반호텔,191989.9042,449617.8722,일반호텔
22285,3130000,3130000-201-1969-00041,121838,서울특별시 마포구 서교동 355-7,서울특별시 마포구 홍익로5안길 34 (서교동),4039,동경모텔,여관업,192947.8279,450128.0408,여관업
22286,3130000,3130000-201-2015-00001,121815,서울특별시 마포구 도화동 570,"서울특별시 마포구 마포대로 83 (도화동, 신라스테이마포 )",4156,신라스테이 마포,관광호텔,195484.9199,448958.5823,관광호텔
22287,3130000,3130000-201-1970-00046,121820,서울특별시 마포구 망원동 378-6번지,서울특별시 마포구 월드컵로11길 8 (망원동),4013,남양,여관업,192014.241,450300.0138,여관업
22288,3130000,3130000-201-1971-00037,121829,서울특별시 마포구 상수동 336-16번지,서울특별시 마포구 와우산로3길 34 (상수동),4074,에이레이 모텔,여관업,192954.329,449300.7866,여관업
22289,3130000,3130000-201-1981-00144,121885,서울특별시 마포구 합정동 383-18,서울특별시 마포구 양화로 25 (합정동),4027,서원장,여관업,192148.2523,449648.3991,여관업
22290,3130000,3130000-201-1982-00067,121885,서울특별시 마포구 합정동 380-11번지,서울특별시 마포구 양화로 16 (합정동),4070,준희빈호텔,일반호텔,192078.4401,449559.4655,일반호텔
22291,3130000,3130000-201-1981-00143,121807,서울특별시 마포구 노고산동 106-84,서울특별시 마포구 백범로2길 14 (노고산동),4100,미성여인숙,여인숙업,194283.761,450215.1109,여인숙업
22292,4090000,4090000-201-2018-00005,415816,경기도 김포시 고촌읍 전호리 646-1번지 호텔 마리나베이 서울,"경기도 김포시 고촌읍 아라육로152번길 210-50, 호텔 마리나베이 서울",10135,호텔마리나베이서울,숙박업 기타,181624.2785,455357.2929,숙박업 기타
22364,3160000,3160000-201-2018-00001,152801,서울특별시 구로구 가리봉동 135-25,서울특별시 구로구 남부순환로105길 32 (가리봉동),8395,구로제이에스호스텔,관광호텔,190289.1733,441929.7988,관광호텔
22365,3160000,3160000-201-2018-00002,152801,서울특별시 구로구 가리봉동 131-18번지 아단아,"서울특별시 구로구 디지털로19길 6-8, 아단아 (가리봉동)",8388,아단아,관광호텔,190241.6589,442019.0002,관광호텔
22436,3020000,3020000-201-1968-00215,140858,서울특별시 용산구 이태원동 136-47번지,서울특별시 용산구 우사단로14길 14-5 (이태원동),4405,뷰 모텔,여관업,199628.8782,447965.9375,여관업
22443,3160000,3160000-201-1987-00064,152871,서울특별시 구로구 구로동 729-14,서울특별시 구로구 구로동로 129-1 (구로동),8310,청수장,여관업,189659.5988,443117.2553,여관업
22463,3220000,3220000-201-1997-00123,135920,서울특별시 강남구 역삼동 720-33번지,서울특별시 강남구 언주로85길 10 (역삼동),6221,씨에프호텔,일반호텔,203669.4203,444336.7018,일반호텔
22464,3170000,3170000-201-1974-00108,153801,서울특별시 금천구 가산동 142-35,서울특별시 금천구 가산로 138 (가산동),8527,강남여인숙,여인숙업,190337.8359,441734.6421,여인숙업
22465,3180000,3180000-201-2003-00072,150823,서울특별시 영등포구 대림동 990-50번지,서울특별시 영등포구 대림로7길 3-8 (대림동),7444,행운여인숙,여인숙업,191484.7145,443034.0846,여인숙업
22471,3220000,3220000-201-1995-00034,135829,서울특별시 강남구 논현동 218-25번지,서울특별시 강남구 언주로 627 (논현동),6106,모투모텔,여관업,203036.0468,445588.5233,여관업
22533,4160000,4160000-214-2018-00033,477841,경기도 가평군 북면 제령리 535-2,경기도 가평군 북면 꽃넘이길 71-1,12405,은하눌풀빌라,숙박업(생활),246035.9317,488387.3751,숙박업(생활)
22664,3130000,3130000-201-2020-00002,121817,서울특별시 마포구 동교동 162-5 MERCURE 앰배서더 HOTEL 홍대,"서울특별시 마포구 양화로 144, MERCURE 앰배서더 HOTEL 홍대 (동교동)",4050,머큐어 앰배서더 홍대,일반호텔,193073.6447,450341.8232,일반호텔
